"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,24.977732,0.366176,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,20.327594,2.236189,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,7.877057,0.772782,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,3.140933,0.100324,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,2.672176,0.144344,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,77.374278,11.523493,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,48.775975,8.589972,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,30.922791,3.121274,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,24.280019,3.728554,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,21.991061,1.784904,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,19.753446,0.425972,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,16.488155,0.476039,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,13.110094,2.097817,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,4.285487,0.944985,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,0.703210,0.388397,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,0.349385,0.162409,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,21.074227,2.242432,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,11.462218,0.797347,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,7.071293,0.593765,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,4.182294,1.123960,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,1.307955,0.363824,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,1.123294,0.121088,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.847237,0.100775,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.601491,0.059599,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.159821,0.010021,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.017649,0.000336,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.007577,0.000100,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,177.393317,27.598334,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,120.760669,0.978813,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,114.172717,8.075738,"ops/s",400000
