"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,6.593025,0.193667,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,2.247318,0.557078,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,2.245203,0.368845,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,1.641303,0.162766,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,1.625272,0.065812,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.692167,0.026238,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.339333,0.011687,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.264765,0.008475,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,264.135968,17.734711,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,175.447546,17.019520,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,125.441970,1.384137,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,103.522587,5.216254,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,64.825858,9.376815,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,65.869201,5.068941,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,46.047465,2.999642,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,42.601111,0.537312,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,31.509754,0.681210,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,27.593764,0.582166,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,29.548023,0.413012,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,60.735968,9.504241,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,34.970075,1.690766,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,27.156689,0.761824,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,19.553751,1.412184,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,15.926808,2.127155,"ops/s",600000
